"","subject","month","avgprop1","avgpropint"
"1",1600,"Pretrial",0.00225,0
"2",1600,"February",0.01425,0
"3",1600,"May",0.0029,0
"4",1600,"August",0.0805,0
"5",1600,"November",0.031,1e-04
"6",1601,"Pretrial",0.01725,0
"7",1601,"February",0.0025,0
"8",1601,"May",0.0101111111111111,0
"9",1601,"August",0.1157,0.0071
"10",1601,"November",0.0155,0
"11",1602,"Pretrial",0.001375,0
"12",1602,"February",0.002,0
"13",1602,"May",0.0012,0
"14",1602,"August",0.1325,0.0058
"15",1602,"November",0.1106,0.0011
"16",1610,"Pretrial",0,0
"17",1610,"February",0.000625,0
"18",1610,"May",0.0039,0
"19",1610,"August",0.0107,0
"20",1610,"November",1e-04,0
"21",1617,"Pretrial",0,0
"22",1617,"February",0,0
"23",1617,"May",0,0
"24",1617,"August",5e-04,0
"25",1617,"November",0,0
"26",1622,"Pretrial",0,0
"27",1622,"February",0,0
"28",1622,"May",0,0
"29",1622,"August",0,0
"30",1622,"November",0,0
"31",1623,"Pretrial",0.000625,0
"32",1623,"February",0.00225,0
"33",1623,"May",1e-04,0
"34",1623,"August",0.0025,0
"35",1623,"November",0,0
"36",1703,"Pretrial",0.000375,0
"37",1703,"February",0.00075,0
"38",1703,"May",0.0022,0
"39",1703,"August",0.019,0
"40",1703,"November",0.0132,0
"41",1802,"Pretrial",0.00975,0
"42",1802,"February",0.002375,0
"43",1802,"May",7e-04,0
"44",1802,"August",0.0683,0
"45",1802,"November",0.0609,1e-04
"46",1803,"Pretrial",0,0
"47",1803,"February",0.000125,0
"48",1803,"May",0,0
"49",1803,"August",0.0154444444444444,0
"50",1803,"November",4e-04,0
"51",1820,"Pretrial",0.066375,0.004875
"52",1820,"February",0.014,0
"53",1820,"May",0.0179,0
"54",1820,"August",0.2528,0.0949
"55",1820,"November",0.0488,0.0089
"56",1841,"Pretrial",0.014,0.000625
"57",1841,"February",0,0
"58",1841,"May",0,0
"59",1841,"August",0.004,1e-04
"60",1841,"November",0.0027,0
"61",1842,"Pretrial",0,0
"62",1842,"February",0,0
"63",1842,"May",0,0
"64",1842,"August",0,0
"65",1842,"November",0,0
"66",1850,"Pretrial",0,0
"67",1850,"February",0,0
"68",1850,"May",0,0
"69",1850,"August",0.0276666666666667,0
"70",1850,"November",0,0
"71",1851,"Pretrial",0.01875,0.000375
"72",1851,"February",0.006375,0
"73",1851,"May",0.0034,4e-04
"74",1851,"August",0.0184,0
"75",1851,"November",0.0102727272727273,0
"76",1853,"Pretrial",0.0025,0
"77",1853,"February",0.002625,0
"78",1853,"May",0.0019,0
"79",1853,"August",0.0134,0
"80",1853,"November",0.0255555555555556,0
