Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
92.412,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Male,5m,,,START
116.971,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Male,1m,,,START
129.246,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Male,1m,,,STOP
136.186,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Male,1m,,,START
141.261,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Female,5m,,,START
142.861,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Female,5m,,,STOP
145.532,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Male,1m,,,STOP
148.201,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Female,5m,,,START
151.14,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Male,1m,,,START
154.608,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Male,1m,,,STOP
155.405,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Female,5m,,,STOP
162.346,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Male,5m,,,STOP
173.558,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Male,5m,,,START
