Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
135.306,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,,Start,,,POINT
136.907,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,5m,,,START
142.211,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
153.322,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
156.427,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
157.228,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
160.931,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
168.74,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
175.047,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
185.554,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
193.964,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
198.868,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
199.469,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
208.08,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
209.587,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
214.386,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
214.585,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
219.287,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
220.891,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
224.794,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
227.199,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
231.099,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
236.108,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
259.63,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
265.741,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
282.754,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
290.06,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
305.777,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
312.381,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
320.691,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
325.994,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
328.099,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
329.901,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,5m,,,STOP
349.019,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,5m,,,START
351.121,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
363.935,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
366.035,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
367.435,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
368.637,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
389.364,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
391.263,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
420.292,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
426.599,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
438.606,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
440.211,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,5m,,,STOP
474.544,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,5m,,,START
476.646,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
532.7,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
543.414,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
559.131,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
567.037,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
592.963,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
608.18,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
630.702,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
633.005,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
692.06,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
701.472,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
722.092,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
726.095,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
729.504,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
732.604,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
771.139,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
774.042,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
825.095,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
826.193,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,5m,,,STOP
1231.801,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Male,5m,,,START
1240.109,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Male,5m,,,STOP
1702.772,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Male,5m,,,START
1705.075,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,5m,,,START
1708.879,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Male,1m,,,START
1712.783,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
1715.883,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Male,1m,,,STOP
1722.492,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Male,5m,,,STOP
1738.908,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
1746.314,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
1785.353,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
1792.659,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
1879.149,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
1895.564,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
1925.694,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,START
1940.91,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,STOP
1950.017,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
1952.123,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
1954.726,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
1962.332,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
1982.049,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
1986.954,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,5m,,,STOP
2110.882,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Male,5m,,,START
2138.709,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Male,5m,,,STOP
2157.727,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,5m,,,START
2165.137,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
2168.737,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,START
2193.462,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,STOP
2200.373,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
2204.37,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,5m,,,STOP
2243.409,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,5m,,,START
2253.824,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
2277.946,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,START
2294.965,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,STOP
2306.277,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,START
2310.481,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Touch,,,POINT
2311.18,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Touch,,,POINT
2311.782,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Touch,,,POINT
2314.901,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,STOP
2439.207,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,START
