,Aggression,Eating,Foraging,Locomoting,Neutral Social,Play,Resting,Standing,IntCar,InvCar,Other,Out of sight,Scent Marking,Stereotyping,subject,date,Month
January 1600 car feeding obs2.csv,0,24.113,660.895,117.189,0,0,0,61.736,0,0,0,35.933,0,0,1600,1/15/2020,January
January 1600 car feeding obs3.csv,0,27.312,430.764,281.328,0,2.005,29.029,102.258,0,0,0,27.121,0,0,1600,1/21/2020,January
January 1600 car feeding obs4.csv,0,29.417,427.287,326.366,0,0,0,106.166,0,0,0,9.408,0,0,1600,1/23/2020,January
January 1600 feeding car OBS1.csv,0,5.104,641.005,123.095,8.203,14.014,11.108,52.538,0,0,0,44.842,0,0,1600,1/10/2020,January
January 1601 car feeding obs1.csv,0,10.504,572.815,147.202,10.606,0,0,137.989,0,0,0,19.715,0,0,1601,1/10/2020,January
January 1601 car feeding obs2.csv,0,8.603,315.28,210.268,11.009,0,0,274.634,0,0,0,71.87,0,0,1601,1/15/2020,January
January 1601 car feeding obs3.csv,0,12.303,281.629,371.032,0,0,0,183.048,0,0,0,47.641,0,0,1601,1/21/2020,January
January 1601 car feeding obs4.csv,0,1.602,188.863,408.572,0,0,0,232.289,0,0,0,66.766,0,0,1601,1/23/2020,January
January 1602 car feeding OBS1.csv,0,11.507,645.413,119.693,8.806,0,0,60.944,0,0,0,48.64,0,0,1602,1/10/2020,January
January 1602 car feeding obs2.csv,0,3.4,293.867,284.949,0,0,0,147.724,0,0,0,168.163,0,0,1602,1/15/2020,January
January 1602 car feeding obs3.csv,0,23.614,299.162,387.941,4.603,1.5,18.216,163.515,0,0,0,0,0,0.801,1602,1/31/2020,January
January 1602 car feeding OBS4.csv,0,26.915,187.857,481.327,0,0,0,145.894,0,0,0,56.353,0,0,1602,1/23/2020,January
January 1610 car feeding obs1.csv,0,4.802,201.178,164.943,17.612,0,248.346,205.381,0,0,0,57.653,0,0,1610,1/10/2020,January
January 1610 car feeding obs2.csv,0,7.504,124.591,212.383,0,0,292.891,203.686,0,0,0,58.853,0,0,1610,1/16/2020,January
January 1610 car feeding obs3.csv,0.702,19.313,163.906,332.692,0,0,0,369.056,0,0,0,14.208,0,0,1610,1/21/2020,January
January 1610 car feeding obs4.csv,0,5.904,233.092,213.978,11.812,0,88.589,331.405,0,0,0,15.113,0,0,1610,1/23/2020,January
January 1617 car feeding obs1.csv,0.901,15.808,528.179,139.018,5.904,0,0,190.864,0,0,0,19.219,0,0,1617,1/10/2020,January
January 1617 car feeding obs2.csv,0,19.204,348.325,243.812,0,0,0,148.723,0,0,0,133.131,0,0,1617,1/16/2020,January
