Name,Agg,Eat,For,Loc,NS,P,Rest,SM,St,CP,Nur,Other,Out of Sight,PupAgg,PupPlay,Ster,subject,nonfeed,date,Month
1600_Feeding_OBS1_10_17_2019.csv,0,26.109,716.354,59.648,0,0,0,0,71.446,0,0,0,0,0,0,0,1600,FALSE,10/17/2019,Pretrial
1600_OBS2_Feeding_10_21_2019.csv,0,30.612,405.462,264.333,0,0,0,0,197.123,0,0,0,0,0,0,0,1600,FALSE,10/21/2019,Pretrial
1600_Feeding_OBS3_10_23_2019.csv,0,28.508,598.949,154.339,0,0,0,0,117.584,0,0,0,0,0,0,0,1600,FALSE,10/23/2019,Pretrial
1600_FeedingTrial_OBS3_10_25_2019.csv,0,25.309,726.085,77.592,0,0,0,7.212,39.621,0,0,0,0,0,0,0,1600,FALSE,10/25/2019,Pretrial
1600_OBS1_10_11_2019_NonFeeding.csv,0,0,61.783,690.521,27.625,7.615,0,0,107.94,0,0,0,0,0,0,0,1600,TRUE,10/11/2019,Pretrial
1600_OBS2_10_14_2019_NonFeeding.csv,0,0,0,6.422,46.974,0,811.088,0,35.503,0,0,0,0,0,0,0,1600,TRUE,10/14/2019,Pretrial
1600_OBS3_10_15_2019_NonFeeding.csv,0,0,0,0,0,0,835.866,0,64.132,0,0,0,0,0,0,0,1600,TRUE,10/15/2019,Pretrial
1600_OBS4_10_23_2019_NonFeeding.csv,0,0,5.919,38.961,0,0,816.082,0,39.028,0,0,0,0,0,0,0,1600,TRUE,10/23/2019,Pretrial
1601_Feeding_OBS1_10_21_2019.csv,0,54.533,709.578,105.373,0,0,0,0,25.005,0,0,0,0,0,0,0,1601,FALSE,10/21/2019,Pretrial
1601_Feeding_OBS2_10_22_2019.csv,0,38.012,766.614,41.03,0,0,0,0,54.249,0,0,0,0,0,0,0,1601,FALSE,10/22/2019,Pretrial
1601_Feeding_OBS3_10_24_2019.csv,0,62.339,644.597,66.958,0,0,0,0,126,0,0,0,0,0,0,0,1601,FALSE,10/24/2019,Pretrial
1601 Feeding 10_28_2019.csv,0,20.616,853.215,9.508,0,0,0,0,16.617,0,0,0,0,0,0,0,1601,FALSE,10/28/2019,Pretrial
1601_OBS1_10_10_2019_NonFeeding.csv,0,0,0,228.585,17.679,2.683,273.52,0,375.496,0,0,0,0,0,0,0,1601,TRUE,10/10/2019,Pretrial
1601_Obs2_10_11_2019_NonFeeding.csv,0,1.891,0,12.67,33.604,0,745.548,0,103.984,0,0,0,0,0,0,2.282,1601,TRUE,10/11/2019,Pretrial
1601_OBS3_10_14_2019_NonFeeding.csv,0,0,0,226.161,0,6.473,0,0,667.331,0,0,0,0,0,0,0,1601,TRUE,10/14/2019,Pretrial
1601_OBS_4_NonFeeding_10_17_2019.csv,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,1601,TRUE,10/17/2019,Pretrial
