,1m,5m,Agg,Oth,Touch,Date,Pair,subject,total.time,Month
1,0,0,0,0,0,NA,1600-1623,1600,3600,Pretrial
2,9.417,362.214,0,0,0,NA,1602-1617,1602,3600,Pretrial
3,0,0,0,0,0,NA,1610-1703,1610,3600,Pretrial
4,0,0,0,0,0,NA,1622-1601,1622,3600,Pretrial
5,0,10.649,0,0,0,NA,1802-1853,1802,3600,Pretrial
6,4.386,149.126,0,0,0,NA,1820-1841,1820,3600,Pretrial
7,0,0,0,0,0,NA,1842-1851,1842,3600,Pretrial
8,0,0,0,0,0,NA,1850-1803,1850,3600,Pretrial
9,0,0,0,0,0,NA,1600-1623,1623,3600,Pretrial
10,0,0,0,0,0,NA,1602-1617,1617,3600,Pretrial
11,0,0,0,0,0,NA,1610-1703,1703,3600,Pretrial
12,0,0,0,0,0,NA,1622-1601,1601,3600,Pretrial
13,0.961,197.801,0,0,0,NA,1802-1853,1853,3600,Pretrial
14,1.539,67.41,0,0,0,NA,1820-1841,1841,3600,Pretrial
15,1.336,158.858,0,0,0,NA,1842-1851,1851,3600,Pretrial
16,0,0,0,0,0,NA,1850-1803,1803,3600,Pretrial
1,0,0,0,0,0,2/18/2020,1600-1623,1600,3600,February
2,0,0,0,0,0,2/14/2020,1602-1617,1602,3600,February
3,0,0,0,0,0,2/15/2020,1610-1703,1610,3600,February
4,0,0,0,0,0,2/14/2020,1622-1601,1622,3600,February
5,0,0,0,0,0,2/14/2020,1802-1853,1802,3600,February
6,0,0,0,0,0,NA,1820-1841,1820,3600,February
7,0,0,0,0,0,2/19/2020,1842-1851,1842,3600,February
8,0,0,0,0,0,2/19/2020,1850-1803,1850,3600,February
9,0,0,0,0,0,2/18/2020,1600-1623,1623,3600,February
10,0,0,0,0,0,2/14/2020,1602-1617,1617,3600,February
11,0,0,0,0,0,2/15/2020,1610-1703,1703,3600,February
12,0,0,0,0,0,2/14/2020,1622-1601,1601,3600,February
13,0,0,0,0,0,2/14/2020,1802-1853,1853,3600,February
14,0,1.441,0,0,0,NA,1820-1841,1841,3600,February
15,4.324,132.446,0,0,0,2/19/2020,1842-1851,1851,3600,February
16,0,0,0,0,0,2/19/2020,1850-1803,1803,3600,February
1,0,0,0,0,0,5/4/2020,1600-1623,1600,3600,May
2,0,0,0,0,0,NA,1602-1617,1602,3600,May
3,0,0,0,0,0,5/4/2020,1610-1703,1610,3600,May
4,0,0,0,0,0,6/29/2020,1622-1601,1622,3600,May
5,0,0,0,0,0,5/5/2020,1802-1853,1802,3600,May
6,19.019,112.404,0,0,0,5/27/2020,1820-1841,1820,3600,May
7,0,0,0,0,0,NA,1842-1851,1842,3600,May
8,0,0,0,0,0,5/20/2020,1850-1803,1850,3600,May
9,0,0,0,0,0,5/4/2020,1600-1623,1623,3600,May
10,0,0,0,0,0,NA,1602-1617,1617,3600,May
11,0,0,0,0,0,5/4/2020,1610-1703,1703,3600,May
12,0,0,0,0,0,6/29/2020,1622-1601,1601,3600,May
13,0,0,0,0,0,5/5/2020,1802-1853,1853,3600,May
14,0,0,0,0,0,5/27/2020,1820-1841,1841,3600,May
15,0.289,74.839,0,0,0,NA,1842-1851,1851,3600,May
16,0,0,0,0,0,5/20/2020,1850-1803,1803,3600,May
1,0,0,0,0,0,8/19/2020,1600-1623,1600,3600,August
2,0,0,0,0,0,8/12/2020,1602-1617,1602,3600,August
3,0,28.938,0,0,0,8/20/2020,1610-1703,1610,3600,August
4,0,0,0,0,0,8/13/2020,1622-1601,1622,3600,August
5,0,9.408,0,0,0,8/19/2020,1802-1853,1802,3600,August
6,85.093,228.447,0,0,0,8/13/2020,1820-1841,1820,3600,August
7,0,0,0,0,0,8/20/2020,1842-1851,1842,3600,August
8,0,2.701,0,0,0,8/12/2020,1850-1803,1850,3600,August
9,0,0,0,0,0,8/19/2020,1600-1623,1623,3600,August
10,0,90.487,0,0,0,8/12/2020,1602-1617,1617,3600,August
11,0,10.71,0,0,0,8/20/2020,1610-1703,1703,3600,August
12,0,68.592,0,0,0,8/13/2020,1622-1601,1601,3600,August
13,0,0,0,0,0,8/19/2020,1802-1853,1853,3600,August
14,0,0,0,0,0,8/13/2020,1820-1841,1841,3600,August
15,1.602,40.038,0,0,0,8/20/2020,1842-1851,1851,3600,August
16,0,71.878,0,0,0,8/12/2020,1850-1803,1803,3600,August
1,0,29.125,0,0,0,11/11/2020,1600-1623,1600,3600,November
2,0,39.947,0,0,0,11/10/2020,1602-1617,1602,3600,November
3,0,0,0,0,0,11/19/2020,1610-1703,1610,3600,November
4,0,0,0,0,0,11/5/2020,1622-1601,1622,3600,November
5,0,0,0,0,0,11/20/2020,1802-1853,1802,3600,November
6,12.915,54.548,0,0,0,11/26/2020,1820-1841,1820,3600,November
7,0,0,0,0,0,11/17/2020,1842-1851,1842,3600,November
8,0,0,0,0,0,11/9/2020,1850-1803,1850,3600,November
9,0,85.484,0,0,0,11/11/2020,1600-1623,1623,3600,November
10,0,118.466,0,0,0,11/10/2020,1602-1617,1617,3600,November
11,0,0,0,0,0,11/19/2020,1610-1703,1703,3600,November
12,0,11.31,0,0,0,11/5/2020,1622-1601,1601,3600,November
13,0,0,0,0,0,11/20/2020,1802-1853,1853,3600,November
14,0,0,0,0,0,11/26/2020,1820-1841,1841,3600,November
15,0,42.348,0,0,0,11/17/2020,1842-1851,1851,3600,November
16,0,16.216,0,0,0,11/9/2020,1850-1803,1803,3600,November
