1m,5m,Agg,Oth,SM,Touch,Pair,subject,Month
3600,3600,3600,3600,3600,3600,1600-1623,1600,Pretrial
128.258,72.023,3600,250.703,3600,280.061,1602-1617,1602,Pretrial
3600,3600,3600,3600,3600,3600,1610-1703,1610,Pretrial
3600,3600,3600,3600,3600,3600,1622-1601,1622,Pretrial
3600,1842.961,3600,3600,3600,3600,1802-1853,1802,Pretrial
1636.532,165.61,3600,1467.561,3600,2327.732,1820-1841,1820,Pretrial
3600,3600,3600,3600,3600,3600,1842-1851,1842,Pretrial
3600,3600,3600,3600,3600,3600,1850-1803,1850,Pretrial
3600,3600,3600,3600,3600,3600,1600-1623,1623,Pretrial
3600,3600,3600,3600,3600,3600,1602-1617,1617,Pretrial
3600,3600,3600,3600,3600,3600,1610-1703,1703,Pretrial
3600,3600,3600,3600,3600,3600,1622-1601,1601,Pretrial
2489.413,215.562,2490.181,3600,3600,2489.99,1802-1853,1853,Pretrial
2317.547,81.647,3600,3600,3600,2318.509,1820-1841,1841,Pretrial
1810.273,1072.104,3600,3600,3600,3600,1842-1851,1851,Pretrial
3600,3600,3600,3600,3600,3600,1850-1803,1803,Pretrial
3600,3600,3600,3600,3600,3600,1600-1623,1600,February
3600,3600,3600,3600,3600,3600,1602-1617,1602,February
3600,3600,3600,3600,3600,3600,1610-1703,1610,February
3600,3600,3600,3600,3600,3600,1622-1601,1622,February
3600,3600,3600,3600,3600,3600,1802-1853,1802,February
3600,3600,3600,3600,3600,3600,1820-1841,1820,February
3600,3600,3600,3600,3600,3600,1842-1851,1842,February
3600,3600,3600,3600,3600,3600,1850-1803,1850,February
3600,3600,3600,3600,3600,3600,1600-1623,1623,February
3600,3600,3600,3600,3600,3600,1602-1617,1617,February
3600,3600,3600,3600,3600,3600,1610-1703,1703,February
3600,3600,3600,3600,3600,3600,1622-1601,1601,February
3600,3600,3600,3600,3600,3600,1802-1853,1853,February
3600,2916.247,3600,3600,3600,3600,1820-1841,1841,February
534.61,111.28,3600,3600,3600,3600,1842-1851,1851,February
3600,3600,3600,3600,3600,3600,1850-1803,1803,February
3600,3600,3600,3600,3600,3600,1600-1623,1600,May
3600,3600,3600,3600,3600,3600,1602-1617,1602,May
3600,3600,3600,3600,3600,3600,1610-1703,1610,May
3600,3600,3600,3600,3600,3600,1622-1601,1622,May
3600,3600,3600,3600,3600,3600,1802-1853,1802,May
83.293,69.457,3600,3600,3600,3600,1820-1841,1820,May
3600,3600,3600,3600,3600,3600,1842-1851,1842,May
3600,3600,3600,3600,3600,3600,1850-1803,1850,May
3600,3600,3600,3600,3600,3600,1600-1623,1623,May
3600,3600,3600,3600,3600,3600,1602-1617,1617,May
3600,3600,3600,3600,3600,3600,1610-1703,1703,May
3600,3600,3600,3600,3600,3600,1622-1601,1601,May
3600,3600,3600,3600,3600,3600,1802-1853,1853,May
3600,3600,3600,3600,3600,3600,1820-1841,1841,May
3091.562,399.44,3600,3600,3600,3600,1842-1851,1851,May
3600,3600,3600,3600,3600,3600,1850-1803,1803,May
3600,3600,3600,3600,3600,3600,1600-1623,1600,August
3600,3600,3600,3600,3600,3600,1602-1617,1602,August
3600,1437.807,3600,3600,3600,3600,1610-1703,1610,August
3600,3600,3600,3600,3600,3600,1622-1601,1622,August
3600,328.398,3600,3600,3600,3600,1802-1853,1802,August
370.974,157.99,3600,3600,3600,572.721,1820-1841,1820,August
3600,3600,3600,3600,3600,3600,1842-1851,1842,August
3600,154.862,3600,3600,3600,3600,1850-1803,1850,August
3600,3600,3600,3600,3600,3600,1600-1623,1623,August
3600,105.207,3600,3600,3600,3600,1602-1617,1617,August
3600,576.448,3600,3600,3600,3600,1610-1703,1703,August
3600,286.629,3600,3600,3600,3600,1622-1601,1601,August
3600,3600,3600,3600,3600,3600,1802-1853,1853,August
3600,3600,3600,3600,3600,3600,1820-1841,1841,August
2624.69,271.043,3600,3600,3600,3600,1842-1851,1851,August
3600,120.924,3600,3600,3600,3600,1850-1803,1803,August
3600,787.962,3600,3600,2079.753,3600,1600-1623,1600,November
3600,285.585,3600,3600,3600,3600,1602-1617,1602,November
3600,3600,3600,3600,3600,3600,1610-1703,1610,November
3600,3600,3600,3600,3600,3600,1622-1601,1622,November
3600,3600,3600,3600,3600,3600,1802-1853,1802,November
252.654,250.358,3600,3600,3600,3600,1820-1841,1820,November
3600,3600,3600,3600,3600,3600,1842-1851,1842,November
3600,3600,3600,3600,3600,3600,1850-1803,1850,November
3600,742.312,3600,3600,2032.103,3600,1600-1623,1623,November
3600,312.604,3600,3600,351.063,3600,1602-1617,1617,November
3600,3600,3600,3600,3600,3600,1610-1703,1703,November
3600,603.172,3600,3600,3600,3600,1622-1601,1601,November
3600,3600,3600,3600,3600,3600,1802-1853,1853,November
3600,3600,3600,3600,3600,3600,1820-1841,1841,November
3600,693.661,3600,3600,3600,3600,1842-1851,1851,November
3600,838.639,3600,3600,3600,3600,1850-1803,1803,November
