,Touch,1m,5m,Pair,subject,Month
1,3600,3600,3600,1600-1623,1600,Pretrial
2,3600,3600,114.519,1602-1617,1602,Pretrial
3,3600,3600,3600,1610-1703,1610,Pretrial
4,3600,3600,3600,1622-1601,1622,Pretrial
5,3600,3600,3600,1802-1853,1802,Pretrial
6,3600,494.094,200.502,1820-1841,1820,Pretrial
7,3600,3600,3600,1842-1851,1842,Pretrial
8,3600,3600,3600,1850-1803,1850,Pretrial
9,3600,3600,3600,1600-1623,1623,Pretrial
10,3600,3600,3600,1602-1617,1617,Pretrial
11,3600,3600,80.485,1610-1703,1703,Pretrial
12,3600,3600,3600,1622-1601,1601,Pretrial
13,3600,3600,303.408,1802-1853,1853,Pretrial
14,3600,1179.684,234.436,1820-1841,1841,Pretrial
15,3600,3600,3600,1842-1851,1851,Pretrial
16,3600,3600,140.645,1850-1803,1803,Pretrial
1,3600,3600,3600,1600-1623,1600,February
2,3600,3600,3600,1602-1617,1602,February
3,3600,3600,3600,1610-1703,1610,February
4,3600,3600,3600,1622-1601,1622,February
5,3600,3600,3600,1802-1853,1802,February
6,3600,3600,3600,1820-1841,1820,February
7,3600,3600,3600,1842-1851,1842,February
8,3600,3600,3600,1850-1803,1850,February
9,3600,3600,3600,1600-1623,1623,February
10,3600,3600,3600,1602-1617,1617,February
11,3600,3600,3600,1610-1703,1703,February
12,3600,3600,3600,1622-1601,1601,February
13,3600,3600,3600,1802-1853,1853,February
14,3600,3600,3600,1820-1841,1841,February
15,3600,3600,3309.123,1842-1851,1851,February
16,3600,3600,3600,1850-1803,1803,February
1,3600,3600,3600,1600-1623,1600,May
2,3600,3600,3600,1602-1617,1602,May
3,3600,3600,3600,1610-1703,1610,May
4,3600,3600,3600,1622-1601,1622,May
5,3600,3600,3600,1802-1853,1802,May
6,100.184,50.709,47.827,1820-1841,1820,May
7,3600,787.902,155.16,1842-1851,1842,May
8,3600,3600,3600,1600-1623,1623,May
9,3600,3600,3600,1602-1617,1617,May
10,3600,3600,532.694,1610-1703,1703,May
11,3600,3600,3600,1622-1601,1601,May
12,3600,3600,239.343,1802-1853,1853,May
13,3600,3600,1245.224,1820-1841,1841,May
14,3600,3600,3600,1842-1851,1851,May
1,3600,3600,3600,1600-1623,1600,August
2,3600,3600,3600,1602-1617,1602,August
3,3600,3600,173.443,1610-1703,1610,August
4,3600,3600,2339.339,1622-1601,1622,August
5,3600,3600,3600,1802-1853,1802,August
6,538.942,49.452,45.447,1820-1841,1820,August
7,3600,3600,3600,1842-1851,1842,August
8,3600,3600,1276.882,1850-1803,1850,August
9,3600,3600,3600,1600-1623,1623,August
10,3600,3600,145.648,1602-1617,1617,August
11,3600,3600,312.79,1610-1703,1703,August
12,3600,339.746,308.71,1622-1601,1601,August
13,3600,3600,273.541,1802-1853,1853,August
14,3600,3600,1642.647,1820-1841,1841,August
15,3600,3600,202.371,1842-1851,1851,August
16,3600,3600,102.705,1850-1803,1803,August
1,3600,3600,1603.069,1600-1623,1600,November
2,3600,3600,3600,1602-1617,1602,November
3,3600,3600,3600,1610-1703,1610,November
4,3600,3600,3600,1622-1601,1622,November
5,3600,3600,3600,1802-1853,1802,November
6,3600,160.562,99.902,1820-1841,1820,November
7,3600,3600,3600,1842-1851,1842,November
8,3600,3600,3600,1850-1803,1850,November
9,3600,3600,354.622,1600-1623,1623,November
10,3600,3600,250.051,1602-1617,1617,November
11,3600,3600,341.544,1610-1703,1703,November
12,3600,3600,3600,1622-1601,1601,November
13,3600,3600,3600,1802-1853,1853,November
14,3600,3600,2642.242,1820-1841,1841,November
15,3600,3600,1367.338,1842-1851,1851,November
16,3600,2286.856,189.958,1850-1803,1803,November
