,1m,5m,Int,Tou,Solve,Total,Pair,subject,day,month
1,0,0,0,0,0,5991.15,1600-1623,1600,1,Pretrial
2,0,0,0,0,0,6041.71,1600-1623,1600,2,Pretrial
3,0,0,0,0,0,6609.91,1600-1623,1600,3,Pretrial
4,78.388,5.106,0,0,0,6421.56,1600-1623,1600,4,Pretrial
5,0,0.401,0,0,0,6325.81,1600-1623,1600,5,Pretrial
6,34.814,1.702,0,0,0,5878.06,1600-1623,1600,6,Pretrial
7,0,7.612,0,0,0,6202.23,1600-1623,1600,7,Pretrial
8,0,5.005,0,0,0,6835.03,1600-1623,1600,8,Pretrial
9,0,543.186,0,0,0,4012.82,1602-1617,1602,1,Pretrial
10,0,293.525,0,0,0,4303.33,1602-1617,1602,2,Pretrial
11,4.006,857.77,0,0,0,4452.12,1602-1617,1602,3,Pretrial
12,3.309,960.029,0,0,0,6672.83,1602-1617,1602,4,Pretrial
13,0,76.881,0,0,0,6092.21,1602-1617,1602,5,Pretrial
14,3.504,210.323,0,0,0,5776.97,1602-1617,1602,6,Pretrial
15,46.039,557.454,0,0,0,6704.87,1602-1617,1602,7,Pretrial
16,14.01,494.889,0,0,0,6594.24,1602-1617,1602,8,Pretrial
17,0,0,0,0,0,3484.3,1610-1703,1610,1,Pretrial
18,0,0,0,0,0,4198.87,1610-1703,1610,2,Pretrial
19,0,0,0,0,0,3455.63,1610-1703,1610,3,Pretrial
20,0,0,0,0,0,6730.91,1610-1703,1610,4,Pretrial
21,0,0,0,0,0,6489.65,1610-1703,1610,5,Pretrial
22,0,51.046,0,0,0,5405.05,1610-1703,1610,6,Pretrial
23,0,0,0,0,0,6459.1,1610-1703,1610,7,Pretrial
24,0,0,0,0,0,5999.17,1610-1703,1610,8,Pretrial
25,0,4.506,0,0,0,5694.49,1622-1601,1622,1,Pretrial
26,0,0,0,0,0,4974.19,1622-1601,1622,2,Pretrial
27,0,0.901,0,0,0,5622.11,1622-1601,1622,3,Pretrial
28,0,0,0,0,0,6675.88,1622-1601,1622,4,Pretrial
29,0,0,0,0,0,7886.97,1622-1601,1622,5,Pretrial
30,0,29.194,0,0,0,8127.89,1622-1601,1622,6,Pretrial
31,0,10.006,0,0,0,5507.18,1622-1601,1622,7,Pretrial
32,0,0,0,0,0,6609.79,1622-1601,1622,8,Pretrial
33,3.11,379.789,0,0,0,6994.15,1802-1853,1802,1,Pretrial
34,8.401,676.314,0,0,0,6690.87,1802-1853,1802,2,Pretrial
35,200.263,1904.703,0,0,0,6613.8,1802-1853,1802,3,Pretrial
36,0,16.53,0,0,0,6694.34,1802-1853,1802,4,Pretrial
37,97.534,916.686,0,0,0,5788.77,1802-1853,1802,5,Pretrial
38,127.334,7.308,0,0,0,7281.92,1802-1853,1802,6,Pretrial
39,82.957,12.012,0,0,0,6399.39,1802-1853,1802,7,Pretrial
40,0,0,0,0,0,6588.27,1802-1853,1802,8,Pretrial
41,1041.945,0,55.872,0,0,5871.02,1820-1841,1820,1,Pretrial
42,869.875,0,159.755,0,0,5618.29,1820-1841,1820,2,Pretrial
43,338.855,0,7.006,0,0,6589.78,1820-1841,1820,3,Pretrial
44,582.892,0,0,0,0,7722.44,1820-1841,1820,4,Pretrial
45,0,8.709,0,0,0,6695.37,1820-1841,1820,5,Pretrial
46,180.393,6.006,0,0,0,5591.2,1820-1841,1820,6,Pretrial
47,245.766,13.995,0,0,0,7641.24,1820-1841,1820,7,Pretrial
48,77.479,12.416,0,0,0,8277.48,1820-1841,1820,8,Pretrial
49,0,0,0,0,0,5768.46,1842-1851,1842,1,Pretrial
50,0,0,0,0,0,7201.39,1842-1851,1842,2,Pretrial
51,0,0,0,0,0,7507.2,1842-1851,1842,3,Pretrial
52,0,0,0,0,0,6823.52,1842-1851,1842,4,Pretrial
53,0,0,0,0,0,7712.41,1842-1851,1842,5,Pretrial
54,0,0,0,0,0,8916.69,1842-1851,1842,6,Pretrial
55,0,0,0,0,0,3861.43,1842-1851,1842,7,Pretrial
56,0,0,0,0,0,8123.38,1842-1851,1842,8,Pretrial
57,0,0,0,0,0,6006.11,1850-1803,1850,1,Pretrial
