,1m,5m,Int,Sol,Touch,Pair,subject,Month
1,4507.852,4365.959,7200,7200,7200,1600-1623,1600,February
2,492.109,466.413,7200,7200,7200,1600-1623,1600,February
3,403.448,340.748,7200,7200,7200,1600-1623,1600,February
4,712.301,434.217,7200,7200,7200,1600-1623,1600,February
5,347.649,341.377,7200,7200,7200,1600-1623,1600,February
6,416.066,369.375,7200,7200,7200,1600-1623,1600,February
7,525.295,164.168,7200,7200,7200,1600-1623,1600,February
8,424.288,371.096,7200,7200,7200,1600-1623,1600,February
9,7200,6476.672,7200,7200,7200,1602-1617,1602,February
10,7200,7200,7200,7200,7200,1602-1617,1602,February
11,436.711,277.623,7200,7200,7200,1602-1617,1602,February
12,7200,468.801,7200,7200,7200,1602-1617,1602,February
13,382.051,358.225,7200,7200,7200,1602-1617,1602,February
14,7200,355.824,7200,7200,7200,1602-1617,1602,February
15,7200,237.863,7200,7200,7200,1602-1617,1602,February
16,303.276,279.355,7200,7200,7200,1602-1617,1602,February
17,7200,167.078,7200,7200,7200,1610-1703,1610,February
18,7200,135.92,7200,7200,7200,1610-1703,1610,February
19,7200,168.009,7200,7200,7200,1610-1703,1610,February
20,7200,426.041,7200,7200,7200,1610-1703,1610,February
21,7200,125.358,7200,7200,7200,1610-1703,1610,February
22,4152.476,691.878,7200,7200,7200,1610-1703,1610,February
23,391.486,262.926,7200,7200,7200,1610-1703,1610,February
24,4181.386,259.191,7200,7200,7200,1610-1703,1610,February
25,7200,2.004,7200,7200,7200,1622-1601,1622,February
26,7200,2.003,7200,7200,7200,1622-1601,1622,February
27,7200,740.131,7200,7200,7200,1622-1601,1622,February
28,7200,2025.51,7200,7200,7200,1622-1601,1622,February
29,7200,917.064,7200,7200,7200,1622-1601,1622,February
30,7200,7200,7200,7200,7200,1622-1601,1622,February
31,7200,31.219,7200,7200,7200,1622-1601,1622,February
32,7200,232.958,7200,7200,7200,1622-1601,1622,February
33,4868.637,3159.221,7200,7200,7200,1802-1853,1802,February
34,1591.803,179.288,7200,7200,7200,1802-1853,1802,February
35,860.08,180.795,7200,7200,7200,1802-1853,1802,February
36,693.918,172.987,7200,7200,7200,1802-1853,1802,February
37,1784.812,190.805,7200,7200,7200,1802-1853,1802,February
38,1799.802,406.726,7200,7200,7200,1802-1853,1802,February
39,955.666,177.281,7200,7200,7200,1802-1853,1802,February
40,7200,140.257,7200,7200,7200,1802-1853,1802,February
41,916.533,508.21,7200,7200,7200,1820-1841,1820,February
42,224.826,133.539,7200,7200,7200,1820-1841,1820,February
43,369.563,143.148,7200,7200,7200,1820-1841,1820,February
44,131.437,98.012,7200,7200,7200,1820-1841,1820,February
45,97.304,84.197,7200,7200,7200,1820-1841,1820,February
46,213.127,193.508,7200,7200,7200,1820-1841,1820,February
47,194.806,169.181,7200,7200,7200,1820-1841,1820,February
48,130.743,86.799,7200,7200,7200,1820-1841,1820,February
49,7200,7200,7200,7200,7200,1842-1851,1842,February
50,7200,7200,7200,7200,7200,1842-1851,1842,February
51,7200,7200,7200,7200,7200,1842-1851,1842,February
52,7200,7200,7200,7200,7200,1842-1851,1842,February
53,7200,7200,7200,7200,7200,1842-1851,1842,February
54,7200,7200,7200,7200,7200,1842-1851,1842,February
55,7200,7200,7200,7200,7200,1842-1851,1842,February
56,7200,2713.234,7200,7200,7200,1842-1851,1842,February
57,7200,7200,7200,7200,7200,1850-1803,1850,February
58,7200,178.784,7200,7200,7200,1850-1803,1850,February
59,7200,7200,7200,7200,7200,1850-1803,1850,February
60,7200,7200,7200,7200,7200,1850-1803,1850,February
61,7200,7200,7200,7200,7200,1850-1803,1850,February
62,7200,7200,7200,7200,7200,1850-1803,1850,February
63,7200,2648.251,7200,7200,7200,1850-1803,1850,February
