Observation,Scent Marking,subject,nonfeed,month
1600_Feeding_OBS1_10_17_2019.csv,3,1600,FALSE,Pretrial
1600_Feeding_OBS3_10_23_2019.csv,4,1600,FALSE,Pretrial
1600_FeedingTrial_OBS3_10_25_2019.csv,5,1600,FALSE,Pretrial
1600_OBS1_10_11_2019_NonFeeding.csv,4,1600,TRUE,Pretrial
1600_OBS2_10_14_2019_NonFeeding.csv,0,1600,TRUE,Pretrial
1600_OBS2_Feeding_10_21_2019.csv,2,1600,FALSE,Pretrial
1600_OBS3_10_15_2019_NonFeeding.csv,0,1600,TRUE,Pretrial
1600_OBS4_10_23_2019_NonFeeding.csv,0,1600,TRUE,Pretrial
1601 Feeding 10_28_2019.csv,0,1601,FALSE,Pretrial
1601_Feeding_OBS1_10_21_2019.csv,1,1601,FALSE,Pretrial
1601_Feeding_OBS2_10_22_2019.csv,0,1601,FALSE,Pretrial
1601_Feeding_OBS3_10_24_2019.csv,2,1601,FALSE,Pretrial
1601_OBS_4_NonFeeding_10_17_2019.csv,0,1601,TRUE,Pretrial
1601_OBS1_10_10_2019_NonFeeding.csv,0,1601,TRUE,Pretrial
1601_Obs2_10_11_2019_NonFeeding.csv,0,1601,TRUE,Pretrial
1601_OBS3_10_14_2019_NonFeeding.csv,1,1601,TRUE,Pretrial
1602 Feeding 10_31_2019.csv,4,1602,FALSE,Pretrial
1602 Feeding 11_11_2019.csv,4,1602,FALSE,Pretrial
1602 Feeding 11_12_2019.csv,3,1602,FALSE,Pretrial
1602_Feeding_10_18_2019_OBS1.csv,3,1602,FALSE,Pretrial
1602_OBS1_10_10_2019_NonFeeding.csv,0,1602,TRUE,Pretrial
1602_OBS2_10_14_2015_Non Feeding.csv,0,1602,TRUE,Pretrial
1602_OBS3_10_17_2019_Nonfeeding.csv,1,1602,TRUE,Pretrial
1602_OBS4_NonFeeding_11_07_2019.csv,0,1602,TRUE,Pretrial
1610 Feeding 11_11_2019.csv,1,1610,FALSE,Pretrial
1610 Feeding 11_12_2019.csv,1,1610,FALSE,Pretrial
1610 Feeding 11_13_2019.csv,0,1610,FALSE,Pretrial
