activity,spot_type,spot_date
Hunting focal sampling,n = 0,1/15/2020
Hunting focal sampling,n = 1,2/15/2020
Hunting focal sampling,n = 1,3/15/2020
Hunting focal sampling,n = 3,4/15/2020
Hunting focal sampling,n = 3,5/15/2020
Hunting focal sampling,n = 4,6/15/2020
Hunting focal sampling,n = 5,7/15/2020
Hunting focal sampling,n = 7,8/15/2020
Hunting focal sampling,n = 6,9/15/2020
Hunting focal sampling,n = 5,10/15/2020
Hunting focal sampling,n = 6,11/15/2020
Novel object,n = 2,11/1/2019
Novel object,n = 0,2/15/2020
Novel object,n = 2,5/15/2020
Novel object,n = 2,8/15/2020
Novel object,n = 2,11/15/2020
Puzzle box,n = 3,11/1/2019
Puzzle box,n = 0,2/15/2020
Puzzle box,n = 1,5/15/2020
Puzzle box,n = 4,8/15/2020
Puzzle box,n = 4,11/15/2020
Conspecific,n = 6,11/1/2019
Conspecific,n = 2,2/15/2020
Conspecific, n = 2,5/15/2020
Conspecific,n = 9,8/15/2020
Conspecific,n = 8,11/15/2020
