activity,spot_type,spot_date
Non-feeding obs,,NA
 ,n = 0,1/15/2020
 ,n = 1,2/15/2020
 ,n = 1,3/15/2020
 ,n = 3,4/15/2020
 ,n = 3,5/15/2020
 ,n = 4,6/15/2020
 ,n = 5,7/15/2020
 ,n = 7,8/15/2020
 ,n = 6,9/15/2020
 ,n = 5,10/15/2020
 ,n = 6,11/15/2020
  ,n = 2,11/1/2019
  ,n = 0,2/15/2020
  ,n = 2,5/15/2020
  ,n = 2,8/15/2020
  ,n = 2,11/15/2020
   ,n = 3,11/1/2019
   ,n = 0,2/15/2020
   ,n = 1,5/15/2020
   ,n = 4,8/15/2020
   ,n = 4,11/15/2020
    ,n = 6,11/1/2019
    ,n = 2,2/15/2020
    , n = 2,5/15/2020
    ,n = 9,8/15/2020
    ,n = 8,11/15/2020
