wp,activity,start_date,end_date
Observations,Non-feeding focal sampling,10/15/2019,11/30/2020
Observations,Scavenging focal sampling,10/15/2019,11/30/2020
Observations,Hunting focal sampling,1/1/2020,11/30/2020
Observations,Novel object,10/15/2019,11/15/2019
Observations,Novel object,2/1/2020,2/28/2020
Observations,Novel object,5/1/2020,5/31/2020
Observations,Novel object,8/1/2020,8/31/2020
Observations,Novel object,11/1/2020,11/30/2020
Observations,Puzzle box,10/15/2019,11/15/2019
Observations,Puzzle box,2/1/2020,2/28/2020
Observations,Puzzle box,5/1/2020,5/31/2020
Observations,Puzzle box,8/1/2020,8/31/2020
Observations,Puzzle box,11/1/2020,11/30/2020
Observations,Conspecific,10/15/2019,11/15/2019
Observations,Conspecific,2/1/2020,2/28/2020
Observations,Conspecific,5/1/2020,5/31/2020
Observations,Conspecific,8/1/2020,8/31/2020
Observations,Conspecific,11/1/2020,11/30/2020
